candidate_source_name,decode,format,height,index,mode,offset,segment_bytes,width
,ok,DDS,256,86,RGBA,10870016,87552,256
,ok,DDS,128,87,RGBA,10957568,11136,128
,ok,DDS,256,88,RGBA,10968704,87552,256
,ok,DDS,256,89,RGBA,11056256,43904,256
,ok,DDS,256,90,RGBA,11100160,43904,256
,ok,DDS,32,91,RGBA,11144064,896,32
,ok,DDS,256,92,RGBA,11144960,87552,512
,ok,DDS,256,93,RGBA,11232512,87552,512
,ok,DDS,256,94,RGBA,11320064,87552,512
,ok,DDS,256,95,RGBA,11407616,87552,512
,ok,DDS,64,96,RGBA,11495168,2944,64
,ok,DDS,256,97,RGBA,11498112,87552,256
,ok,DDS,256,98,RGBA,11585664,87552,256
,ok,DDS,256,99,RGBA,11673216,87552,256
,ok,DDS,256,100,RGBA,11760768,11136,64
,ok,DDS,256,101,RGBA,11771904,11136,64
,ok,DDS,256,102,RGBA,11783040,22016,128
,ok,DDS,256,103,RGBA,11805056,22016,128
,ok,DDS,256,104,RGBA,11827072,22016,128
,ok,DDS,256,105,RGBA,11849088,11136,64
,ok,DDS,128,106,RGBA,11860224,43904,512
,ok,DDS,128,107,RGBA,11904128,2944,32
,ok,DDS,32,108,RGBA,11907072,2944,128
,ok,DDS,64,109,RGBA,11910016,2944,64
,ok,DDS,256,110,RGBA,11912960,87552,512
,ok,DDS,256,111,RGBA,12000512,87552,512
,ok,DDS,32,112,RGBA,12088064,2944,128
,ok,DDS,256,113,RGBA,12091008,87552,512
,ok,DDS,256,114,RGBA,12178560,87552,512
,ok,DDS,256,115,RGBA,12266112,87552,512
,ok,DDS,256,116,RGBA,12353664,22016,128
,ok,DDS,128,117,RGBA,12375680,2944,32
,ok,DDS,128,118,RGBA,12378624,5760,32
,ok,DDS,512,119,RGBA,12384384,349696,512
,ok,DDS,512,120,RGBA,12734080,349696,512
,ok,DDS,1024,121,RGBA,13083776,1398272,1024
,ok,DDS,256,122,RGBA,14482048,43904,256
,ok,DDS,512,123,RGBA,14525952,174976,512
,ok,DDS,128,124,RGBA,14700928,11136,128
,ok,DDS,256,125,RGBA,14712064,43904,256
,ok,DDS,512,126,RGBA,14755968,174976,512
,ok,DDS,512,127,RGBA,14930944,174976,512
,ok,DDS,512,128,RGBA,15105920,174976,512
,ok,DDS,512,129,RGBA,15280896,174976,512
,ok,DDS,512,130,RGBA,15455872,174976,512
,ok,DDS,1024,131,RGBA,15630848,699264,1024
,ok,DDS,512,132,RGBA,16330112,174976,512
,ok,DDS,64,133,RGBA,16505088,1664,16
,ok,DDS,128,134,RGBA,16506752,22016,128
,ok,DDS,512,135,RGBA,16528768,174976,512
,ok,DDS,128,136,RGBA,16703744,11136,128
,ok,DDS,512,137,RGBA,16714880,174976,512
,ok,DDS,512,138,RGBA,16889856,174976,512
,ok,DDS,128,139,RGBA,17064832,12132992,8
