name,source_strategy
066_windturbine.model.ru_model_bladesru_entity_windturbine_double.ru_model_gfx,layer3_single_vb_inference:index_max_equals_vertex_count_minus_1
067_telegraphpole.model.ru_model_gfxru_entity_telegraphpole,layer3_single_vb_inference:index_max_equals_vertex_count_minus_1
068_telegraphpole.model.ru_model_gfxru_entity_telegraphpole_2,layer3_single_vb_inference:index_max_equals_vertex_count_minus_1
069_telegraphpole.model.ru_model_gfxru_entity_telegraphpole_3,layer3_single_vb_inference:index_max_equals_vertex_count_minus_1
070_telegraphpole.model.ru_model_gfxru_entity_telegraphpole_4,layer3_single_vb_inference:index_max_equals_vertex_count_minus_1
071_telegraphpole.model.ru_model_gfxru_entity_telegraphpole_5,layer3_single_vb_inference:index_max_equals_vertex_count_minus_1
072_logs.model.ru_model_visualru_entity_log1.ru_body_collision,decoded_drawtable_auto
073_logs.model.ru_model_visualru_entity_log2.ru_body_collision,decoded_drawtable_auto
074_fence.model.ru_model_pcube36ru_entity_fence.ru_body_pcube40,decoded_exact_1vb
075_fence.model.ru_model_pcube38ru_entity_fence.ru_body_pcube38,decoded_exact_1vb
076_fence.model.ru_model_pcube35ru_entity_fence.ru_body_pcube39,decoded_exact_1vb
077_fence.model.ru_model_pcube37ru_entity_fence.ru_body_pcube41,decoded_exact_1vb
078_fence.model.ru_model_centreru_entity_metal_fence.ru_body_centre,decoded_exact_1vb
079_fence.model.ru_model_centreru_entity_metal_fence_advert.ru_body_centre,decoded_exact_1vb
080_fence.model.ru_model_group24ru_entity_wire_fence.ru_body_centre,decoded_multibuffer_auto
081_fence.model.ru_model_pcube37ru_entity_basic_wooden_1.ru_body_slat,decoded_exact_1vb
082_fence.model.ru_model_pcube37ru_entity_basic_wooden_1.ru_body_slat1,decoded_exact_1vb
083_fence.model.ru_model_pcube35ru_entity_basic_wooden_1.ru_body_upright,decoded_exact_1vb
084_fence.model.ru_model_pcube35ru_entity_basic_wooden_1.ru_body_upright1,decoded_exact_1vb
085_fence.model.ru_model_group24ru_entity_basic_wooden_advert.ru_body_slat1,decoded_drawtable_auto
086_fence.model.ru_model_pcube35ru_entity_basic_wooden_advert.ru_body_upright2,decoded_exact_1vb
087_fence.model.ru_model_pcube35ru_entity_basic_wooden_advert.ru_body_upright3,decoded_exact_1vb
088_fence.model.ru_model_group24ru_entity_electric_fence.ru_body_centre,decoded_multibuffer_auto
089_fence.model.ru_model_group24ru_entity_electric_fence_advert.ru_body_centre,layer3_single_vb_inference:only_vertex_buffer_fits_all_indices
090_fence.model.ru_model_mesh1ru_entity_bamboo_fence.ru_body_centre1,decoded_drawtable_auto
091_fence.model.ru_model_mesh1ru_entity_bamboo_fence_advert.ru_body_centre1,layer3_single_vb_inference:index_max_equals_vertex_count_minus_1
092_flag_banner.model.ru_model_meshru_entity_flagbanner.ru_body_group1,layer3_single_vb_inference:index_max_equals_vertex_count_minus_1
093_largesign.model.ru_entity_largesign,layer4_correct_index_descriptor
094_rocks.model.ru_entity_rock1,decoded_drawtable_auto
095_rocks.model.ru_entity_rock2,decoded_drawtable_auto
096_rocks.model.ru_entity_rock3,decoded_drawtable_auto
097_rocks.model.ru_entity_rock4,decoded_drawtable_auto
098_rocks.model.ru_entity_rock5,decoded_drawtable_auto
099_rocks.model.ru_entity_rock6,decoded_drawtable_auto
100_meshfence.model.ru_model_group1ru_entity_meshfence.ru_body_box_body,decoded_exact_1vb
101_bollard.model.ru_model_group1ru_entity_bollard.ru_body_body,decoded_exact_1vb
102_bollard.model.ru_model_group1ru_entity_bollard_thin.ru_body_body,decoded_exact_1vb
103_bollard.model.ru_model_pcube1ru_entity_bollard_square_flat.ru_body_group1,decoded_exact_1vb
104_bollard.model.ru_model_pcube1ru_entity_bollard_square.ru_body_group1,decoded_exact_1vb
105_advertboards.model.ru_model_mainmodelru_entity_advert.ru_body_group1,decoded_drawtable_auto
106_barriers.model.ru_model_mainmodelru_entity_barrier.ru_body_group3,layer3_single_vb_inference:index_max_equals_vertex_count_minus_1
107_barriers.model.ru_model_mainmodelru_entity_barrieradvert.ru_body_group4,layer3_single_vb_inference:index_max_equals_vertex_count_minus_1
108_cone.model.ru_model_group1ru_entity_cone.ru_body_body,decoded_drawtable_auto
109_armco.model.ru_model_armcotaperinru_entity_armcostart,decoded_exact_1vb
110_armco.model.ru_model_visualru_entity_armcoend,decoded_exact_1vb
111_armco.model.ru_model_armcoru_entity_armco,decoded_drawtable_auto
112_stonewall.model.ru_model_meshru_entity_stonewall_normal_1,decoded_multibuffer_auto
113_stonewall.model.ru_model_meshru_entity_stonewall_normal_2,decoded_multibuffer_auto
114_stonewall.model.ru_model_meshru_entity_stonewall_normal_3,decoded_multibuffer_auto
115_stonewall.model.ru_model_meshru_entity_stonewall_normal_4,decoded_multibuffer_auto
116_stonewall.model.ru_model_meshru_entity_stonewall_normal_5,decoded_multibuffer_auto
117_stonewall.model.ru_model_meshru_entity_stonewall_normal_6_advert,layer3_single_vb_inference:only_vertex_buffer_fits_all_indices
118_stonewall.model.ru_model_meshru_entity_stonewall_normal_7_advert,layer3_single_vb_inference:only_vertex_buffer_fits_all_indices
119_stonewall.model.ru_model_meshru_entity_stonewall_start_1,decoded_multibuffer_auto
120_stonewall.model.ru_model_meshru_entity_stonewall_end_1,decoded_multibuffer_auto
121_woodenpole.model.ru_model_poleru_entity_woodenpole.ru_body_group1,decoded_drawtable_auto
122_japan.model.ru_entity_temple,layer3_single_vb_inference:index_max_equals_vertex_count_minus_1
123_barn.model.ru_entity_barn,layer3_single_vb_inference:index_max_equals_vertex_count_minus_1
124_cart.model.ru_entity_cart,layer3_single_vb_inference:index_max_equals_vertex_count_minus_1
125_mailbox.model.ru_model_group1ru_entity_mailbox.ru_body_bottom,layer4_correct_index_descriptor
126_mailbox.model.ru_model_group1ru_entity_mailbox.ru_body_top,decoded_exact_1vb
127_farmhouse.model.ru_entity_farmhouse,layer3_single_vb_inference:index_max_equals_vertex_count_minus_1
128_tent.model.ru_entity_tent,layer3_single_vb_inference:only_vertex_buffer_fits_all_indices
129_rustytruck.model.ru_entity_rustytruck,decoded_exact_1vb
130_haybales.model.ru_model_haybaleru_entity_haybale1.ru_body_cylinder_x_coll,decoded_drawtable_auto
131_haybales.model.ru_model_pcube2ru_entity_haybale2.ru_body_box_pcube1,decoded_drawtable_auto
132_giraffe.model.ru_entity_giraffe,decoded_exact_1vb
133_zebra.model.ru_entity_zebra,layer3_single_vb_inference:index_max_equals_vertex_count_minus_1
134_roadsidemarker.model.ru_model_group1ru_entity_roadsidemarker.ru_body_cylinder_y_collision,decoded_drawtable_auto
